itemname,key,delay,value_type,description,application,discovery_rule,template,units
{#SENSOR_INFO}: Fan status,sensor.fan.status[ciscoEnvMonFanState.{#SNMPINDEX}],3m,3,MIB: CISCO-ENVMON-MIB,Fans,FAN Discovery,Template Module Cisco CISCO-ENVMON-MIB SNMPv2,
{#SENSOR_INFO}: Power supply status,sensor.psu.status[ciscoEnvMonSupplyState.{#SNMPINDEX}],3m,3,MIB: CISCO-ENVMON-MIB,Power supply,PSU Discovery,Template Module Cisco CISCO-ENVMON-MIB SNMPv2,
{#SNMPVALUE}: Temperature status,sensor.temp.status[ciscoEnvMonTemperatureState.{#SNMPINDEX}],3m,3,"MIB: CISCO-ENVMON-MIB
The current state of the test point being instrumented.",Temperature,Temperature Discovery,Template Module Cisco CISCO-ENVMON-MIB SNMPv2,
{#SNMPVALUE}: Available memory,vm.memory.free[ciscoMemoryPoolFree.{#SNMPINDEX}],3m,3,"MIB: CISCO-MEMORY-POOL-MIB
Indicates the number of bytes from the memory pool that are currently unused on the managed device. Note that the sum of ciscoMemoryPoolUsed and ciscoMemoryPoolFree is the total amount of memory in the pool
Reference: http://www.cisco.com/c/en/us/support/docs/ip/simple-network-management-protocol-snmp/15216-contiguous-memory.html",Memory,Memory Discovery,Template Module Cisco CISCO-MEMORY-POOL-MIB SNMPv2,B
{#SNMPVALUE}: CPU utilization,system.cpu.util[cpmCPUTotal5min.{#SNMPINDEX}],3m,0,"MIB: CISCO-PROCESS-MIB
The overall CPU busy percentage in the last 5 minute
period. This object deprecates the avgBusy5 object from
the OLD-CISCO-SYSTEM-MIB. This object is deprecated
by cpmCPUTotal5minRev which has the changed range
of value (0..100)
Reference: http://www.cisco.com/c/en/us/support/docs/ip/simple-network-management-protocol-snmp/15215-collect-cpu-util-snmp.html",CPU,CPU Discovery,Template Module Cisco CISCO-PROCESS-MIB IOS versions 12.0_3_T-12.2_3.5 SNMPv2,%
#{#SNMPINDEX}: CPU utilization,system.cpu.util[cpmCPUTotal5minRev.{#SNMPINDEX}],3m,0,"MIB: CISCO-PROCESS-MIB
The cpmCPUTotal5minRev MIB object provides a more accurate view of the performance of the router over time than the MIB objects cpmCPUTotal1minRev and cpmCPUTotal5secRev . These MIB objects are not accurate because they look at CPU at one minute and five second intervals, respectively. These MIBs enable you to monitor the trends and plan the capacity of your network. The recommended baseline rising threshold for cpmCPUTotal5minRev is 90 percent. Depending on the platform, some routers that run at 90 percent, for example, 2500s, can exhibit performance degradation versus a high-end router, for example, the 7500 series, which can operate fine.
Reference: http://www.cisco.com/c/en/us/support/docs/ip/simple-network-management-protocol-snmp/15215-collect-cpu-util-snmp.html",CPU,CPU Discovery,Template Module Cisco CISCO-PROCESS-MIB SNMPv2,%
{#ENT_NAME}: Hardware serial number,system.hw.serialnumber[entPhysicalSerialNum.{#SNMPINDEX}],1h,1,MIB: ENTITY-MIB,Inventory,Entity Serial Numbers Discovery,Template Module Cisco Inventory SNMPv2,
Interface {#IFNAME}({#IFALIAS}): Duplex status,net.if.duplex[dot3StatsDuplexStatus.{#SNMPINDEX}],5m,3,"MIB: EtherLike-MIB
The current mode of operation of the MAC
entity.  'unknown' indicates that the current
duplex mode could not be determined.

Management control of the duplex mode is
accomplished through the MAU MIB.  When
an interface does not support autonegotiation,
or when autonegotiation is not enabled, the
duplex mode is controlled using
ifMauDefaultType.  When autonegotiation is
supported and enabled, duplex mode is controlled
using ifMauAutoNegAdvertisedBits.  In either
case, the currently operating duplex mode is
reflected both in this object and in ifMauType.

Note that this object provides redundant
information with ifMauType.  Normally, redundant
objects are discouraged.  However, in this
instance, it allows a management application to
determine the duplex status of an interface
without having to know every possible value of
ifMauType.  This was felt to be sufficiently
valuable to justify the redundancy.
Reference: [IEEE 802.3 Std.], 30.3.1.1.32,aDuplexStatus.",Network interfaces,EtherLike-MIB Discovery,Template Module EtherLike-MIB SNMPv1,
Interface {#IFNAME}({#IFALIAS}): Duplex status,net.if.duplex[dot3StatsDuplexStatus.{#SNMPINDEX}],5m,3,"MIB: EtherLike-MIB
The current mode of operation of the MAC
entity.  'unknown' indicates that the current
duplex mode could not be determined.

Management control of the duplex mode is
accomplished through the MAU MIB.  When
an interface does not support autonegotiation,
or when autonegotiation is not enabled, the
duplex mode is controlled using
ifMauDefaultType.  When autonegotiation is
supported and enabled, duplex mode is controlled
using ifMauAutoNegAdvertisedBits.  In either
case, the currently operating duplex mode is
reflected both in this object and in ifMauType.

Note that this object provides redundant
information with ifMauType.  Normally, redundant
objects are discouraged.  However, in this
instance, it allows a management application to
determine the duplex status of an interface
without having to know every possible value of
ifMauType.  This was felt to be sufficiently
valuable to justify the redundancy.
Reference: [IEEE 802.3 Std.], 30.3.1.1.32,aDuplexStatus.",Network interfaces,EtherLike-MIB Discovery,Template Module EtherLike-MIB SNMPv2,
#{#SNMPINDEX}: CPU utilization,system.cpu.util[hrProcessorLoad.{#SNMPINDEX}],3m,0,"MIB: HOST-RESOURCES-MIB
The average, over the last minute, of the percentage of time that this processor was not idle.
Implementations may approximate this one minute smoothing period if necessary.",CPU,CPU Discovery,Template Module HOST-RESOURCES-MIB SNMPv1,%
#{#SNMPINDEX}: Memory utilization,vm.memory.pused[memoryUsedPercentage.{#SNMPINDEX}],3m,0,Memory utilization in %,Memory,Memory Discovery,Template Module HOST-RESOURCES-MIB SNMPv1,%
{#SNMPVALUE}: Storage utilization,vfs.fs.pused[storageUsedPercentage.{#SNMPINDEX}],5m,0,Storage utilization in % for {#SNMPVALUE},Storage,Storage Discovery,Template Module HOST-RESOURCES-MIB SNMPv1,%
